侧身倚墙站立 单手轻撩耳边发丝||文艺,性感
双膝跪地 臀部坐脚跟上双手交叠||温柔
跪坐 单手托腮微微侧头看向远方||甜美
半跪姿势 单膝着地另一腿弓起站立
跪于地面 双手撑地腰背微微弓起||清冷
跪坐挺直 双手搁于膝上下巴微抬||御姐
单膝跪地 双手抱胸身体微微侧转||飒爽,御姐
双膝跪坐 双手向后撑身体微微后仰
跪姿站立 单手叉腰另一手自然下垂||性感
半跪姿势 单手撑地另一手伸向镜头||热烈
跪坐 双手交叠于膝盖上微微含胸||温柔,甜美
单膝跪地 回头望向镜头微微一笑
侧躺 单手撑头另一手自然垂落身侧||文艺,性感
仰躺 双手自然交叠于腹部微微曲膝
侧躺 手肘撑头单手轻轻撩拨发丝||性感
仰躺 双手自然地放于两侧看向镜头
俯躺 双手撑下巴双腿微微向上翘起||校园
侧躺 单手托腮另一手自然搭于腰部
仰躺 双手举起过头伸展身体舒展开来||温柔,甜美
侧身躺下 曲膝单手撑头看向远方||性感
俯躺 单手撑脸另一手自然向前伸出
仰躺 双手枕于脑后头微微侧望远方
侧躺 身体微微曲起双手自然地交叠
仰躺 双腿曲起双手自然地搁于腹部||甜美
侧躺 单手撩拨发丝另一手撑住地面||性感
俯躺 双手交叠下巴自然地搁于手背
侧身躺下 手肘撑头微微回眸一笑||文艺,性感
行走中回头 单手撩拨发丝随风飞扬||文艺,性感
转身瞬间 裙摆飘扬双手自然张开
跳跃瞬间 双臂上举发丝随风飘动||校园
奔跑中回头望 单手向镜头前方伸出
旋转瞬间 双臂展开裙摆随风飞扬
行走中 单手插兜微微侧头看向远方||飒爽
转身回眸 单手撩拨耳边发丝微笑||文艺
后退步走 双手抬起掌心向前方推出
侧步行走中 双手自然地随步伐向前摆动||温柔
转身回望 单手叉腰看向镜头方向||御姐
小跑前进 双臂微曲自然向前摆动
侧身回头 单手撩拨发丝浅浅微笑||甜美,温柔
跳起瞬间 双腿曲起双手抱膝于胸前||热烈
行走中停步 双手插兜回头望向远方||飒爽,御姐
旋转停下 单手抚胸微微喘息微笑||文艺
大步向前行走 双臂自然地随步伐摆动前进
侧步行走 回头望向镜头方向微笑
转身瞬间 裙摆飞扬单手向镜头伸出||热烈,性感
小跳前进 双手举起发丝随风飘动
行走中转身 双手自然张开微笑前行||温柔
一手轻扶椅背 身体自然站立||优雅
双手交叠放在身前 姿态克制||温柔
肩膀微微转向一侧 形成自然曲线||文艺
一只脚向前迈出 保留行走瞬间||热烈
身体靠在墙边 手臂自然下垂||清冷
坐在台阶上 一腿自然伸展||文艺
侧身回望镜头 动作连贯自然||优雅
双手整理衣袖 记录准备动作||校园
手臂轻抬触碰发丝||温柔
向前俯身查看桌面||文艺
一手插入口袋 站姿放松||飒爽
坐在高脚凳上 双腿自然交叠||御姐
轻轻转身展示服装侧面||优雅
双手捧住杯子 动作安静||温柔
靠近窗边侧身站立||清冷
一手提包向前行走||飒爽
坐在沙发边缘 身体微微前倾||文艺
手掌轻触脸侧 姿态柔和||甜美
伸手翻阅桌上书页||文艺
